age_band,num_people,max_vax,time_1,time_2,time_3,time_4,infection,infection_day
2,1,3,47,350,718,-1,0,-1
2,1,3,66,295,719,-1,0,-1
2,1,3,166,275,705,-1,0,-1
2,1,3,179,290,760,-1,0,-1
2,1,2,161,359,-1,-1,0,-1
2,1,3,170,241,709,-1,0,-1
2,1,3,78,236,784,-1,0,-1
2,1,3,56,359,716,-1,0,-1
2,1,3,46,268,785,-1,0,-1
2,1,3,162,255,720,-1,0,-1
2,1,3,135,249,819,-1,0,-1
2,1,2,178,360,-1,-1,0,-1
2,1,2,163,284,-1,-1,0,-1
2,1,2,121,359,-1,-1,0,-1
2,1,2,86,319,-1,-1,0,-1
2,1,2,84,315,-1,-1,0,-1
2,1,3,140,299,813,-1,0,-1
2,1,3,88,243,707,-1,0,-1
2,1,3,132,351,705,-1,0,-1
2,1,3,42,274,740,-1,0,-1
2,1,3,170,307,706,-1,0,-1
2,1,3,116,359,826,-1,0,-1
2,1,3,149,329,832,-1,0,-1
2,1,3,57,269,702,-1,0,-1
2,1,3,119,290,835,-1,0,-1
2,1,3,97,261,723,-1,0,-1
2,1,3,167,312,723,-1,0,-1
2,1,3,55,224,755,-1,0,-1
2,1,3,102,314,750,-1,0,-1
2,1,3,38,229,757,-1,0,-1
2,1,3,136,316,699,-1,0,-1
2,1,3,148,271,799,-1,0,-1
2,1,3,169,260,737,-1,0,-1
2,1,3,85,314,818,-1,0,-1
2,1,3,50,289,824,-1,0,-1
2,1,3,181,231,828,-1,0,-1
2,1,3,172,348,810,-1,0,-1
2,1,3,79,221,727,-1,0,-1
2,1,3,76,341,759,-1,0,-1
2,1,3,48,350,779,-1,0,-1
2,1,3,120,281,758,-1,0,-1
2,1,3,59,232,748,-1,0,-1
2,1,3,125,363,800,-1,0,-1
2,1,3,111,326,773,-1,0,-1
2,1,3,117,307,800,-1,0,-1
2,1,2,175,274,-1,-1,0,-1
2,1,3,167,306,751,-1,0,-1
2,1,3,177,327,835,-1,0,-1
2,1,2,58,320,-1,-1,0,-1
